;;;;1NN;;;;;;;;
;Diabetes;;;;Ozone;;;;Spectf-heart;;;
;%_clas;%red;Fit.;T;%_clas;%red;Fit.;T;%_clas;%red;Fit.;T
Partición 0 ;65.49;0.00;52.39;0.00;66.88;0.00;53.50;0.00;86.52;0.00;69.22;0.00
Partición 1 ;69.48;0.00;55.58;0.00;65.62;0.00;52.50;0.00;84.29;0.00;67.43;0.00
Partición 2 ;62.34;0.00;49.87;0.00;67.19;0.00;53.75;0.00;87.14;0.00;69.71;0.00
Partición 3 ;62.34;0.00;49.87;0.00;68.75;0.00;55.00;0.00;90.00;0.00;72.00;0.00
Partición 4 ;68.83;0.00;55.06;0.00;62.50;0.00;50.00;0.00;88.57;0.00;70.86;0.00
Partición 5 ;64.47;0.00;51.58;0.00;70.31;0.00;56.25;0.00;82.61;0.00;66.09;0.00
;;;;busqueda local;;;;;;;;
;Diabetes;;;;Ozone;;;;Spectf-heart;;;
;%_clas;%red;Fit.;T;%_clas;%red;Fit.;T;%_clas;%red;Fit.;T
Partición 0 ;65.49;17.50;56.62;131.86;66.88;13.61;57.72;56.90;86.52;13.64;71.49;59.15
Partición 1 ;69.48;12.50;54.97;121.76;65.62;9.72;54.44;57.37;84.29;13.64;66.73;59.61
Partición 2 ;62.34;25.00;54.87;128.07;67.19;20.83;55.42;58.02;87.14;15.91;72.90;58.86
Partición 3 ;62.34;25.00;59.55;129.22;68.75;8.33;60.42;56.90;90.00;11.36;77.70;59.24
Partición 4 ;68.83;25.00;63.70;140.83;62.50;16.67;58.33;56.87;88.57;11.36;69.70;58.42
Partición 5 ;64.47;0.00;50.00;139.41;70.31;12.50;60.00;55.33;82.61;15.91;70.43;59.61
;;;;RELIEF;;;;;;;;
;Diabetes;;;;Ozone;;;;Spectf-heart;;;
;%_clas;%red;Fit.;T;%_clas;%red;Fit.;T;%_clas;%red;Fit.;T
Partición 0 ;65.49;17.50;55.06;12.45;66.88;48.33;63.42;2.43;86.52;0.00;68.30;2.76
Partición 1 ;69.48;25.00;57.99;12.42;65.62;48.61;63.47;2.41;84.29;0.00;67.43;2.74
Partición 2 ;62.34;12.50;52.37;12.46;67.19;41.67;62.08;2.42;87.14;0.00;70.86;2.79
Partición 3 ;62.34;12.50;53.41;12.29;68.75;48.61;63.47;2.39;90.00;0.00;70.86;2.74
Partición 4 ;68.83;12.50;57.05;12.45;62.50;43.06;59.86;2.47;88.57;0.00;67.43;2.76
Partición 5 ;64.47;25.00;54.47;12.61;70.31;59.72;68.19;2.48;82.61;0.00;64.93;2.79
;;;;Global;;;;;;;;
;Diabetes;;;;Ozone;;;;Spectf-heart;;;
;%_clas;%red;Fit.;T;%_clas;%red;Fit.;T;%_clas;%red;Fit.;T
1NN;65.49;0.00;52.39;0.00;66.88;0.00;53.50;0.00;86.52;0.00;69.22;0.00
busqueda local;65.49;17.50;56.62;131.86;66.88;13.61;57.72;56.90;86.52;13.64;71.49;59.15
RELIEF;65.49;17.50;55.06;12.45;66.88;48.33;63.42;2.43;86.52;0.00;68.30;2.76
